stock_code,date,foreign_buy,percent_foreign_ownership,cash_dividend,dividend_yield,beta,eps,pe,forward_pe,bvps,pb
HWS,2024-12-05,0,1.03,950,0.06,0.47,1443,11.57,10.55,12496,1.34
IBC,2024-12-05,0,1.33,0,0,0,-1048,-1.62,1,18285,0.09
IBD,2024-12-05,0,0,600,0.05,-0.26,208,55.24,10.64,10203,1.13
ICC,2024-12-05,0,6.70,1800,0.07,-1.74,0,0,15.97,0,0
HVX,2024-12-05,0,0.95,0,0,0.27,-1625,-1.55,-2.37,8188,0.31
ICG,2024-12-05,0,6.28,500,0.06,0.60,-467,-16.93,79,16212,0.49
ICF,2024-12-05,0,2.70,0,0,0.64,-178,-22.42,51.23,6540,0.61
IDC,2024-12-05,369500,22.85,4000,0.07,1.28,6634,8.11,7.10,20275,2.65
ICN,2024-12-05,0,0,3000,0.05,0.53,10236,5.42,17.05,18190,3.05
ICT,2024-12-05,0,0.55,500,0.04,0.65,1058,12.29,12.18,19994,0.65
ICI,2024-12-05,0,0,200,0.03,-2.18,0,0,53.60,0,0
IDI,2024-12-05,66600,0.94,0,0,1.65,254,32.17,8.09,12679,0.64
IDJ,2024-12-05,35600,0.70,0,0,1.99,756,8.07,10.18,12048,0.51
IDP,2024-12-05,0,13.29,8500,0.04,-0.24,16198,14.51,16.14,54347,4.32
IDV,2024-12-05,0,19.71,2500,0.06,0.80,3912,10.28,11.53,24638,1.63
IFS,2024-12-05,0,97.80,2400,0.09,1.51,2194,12.08,12.04,13704,1.93
IHK,2024-12-05,0,0.09,1250,0.09,0.06,2339,5.90,9.24,13392,1.03
ILB,2024-12-05,0,10.92,2107,0.06,0.15,4082,8.04,8.15,22125,1.48
ILA,2024-12-05,0,0,0,0,1.16,59,68.38,5.29,10851,0.37
ILC,2024-12-05,0,0,0,0,-1.54,1930,3.17,3.33,8142,0.75
IMP,2024-12-05,18300,49.32,1000,0.02,0.84,3743,12.82,17.48,13961,3.44
IJC,2024-12-05,42600,4.80,700,0.05,1.36,883,15.24,9.94,13285,1.01
IME,2024-12-05,0,0,0,0,-1.07,491,172.16,36.52,11382,7.43
ILS,2024-12-05,0,0,0,0,-0.74,578,22.70,221.28,9474,1.38
ING,2024-12-05,0,0,0,0,0.14,-389,-20.81,-17.58,-1279,-6.33
INN,2024-12-05,0,3.75,2500,0.05,0.30,6415,8.36,8.32,38173,1.40
INC,2024-12-05,0,9.40,800,0.03,-0.15,469,62.24,26.62,12267,2.38
IN4,2024-12-05,0,0,1500,0.03,-0.07,1487,33.69,7.91,15729,3.19
IPA,2024-12-05,5300,0.52,0,0,1.80,2203,5.45,6.04,20381,0.59
IRC,2024-12-05,0,0,350,0.04,0.21,821,10.59,25.37,10058,0.86
ISG,2024-12-05,0,0,0,0,-0.11,-3204,-2.18,0.43,-36288,-0.19
IST,2024-12-05,0,0.19,2300,0.06,-0.61,5506,6.54,5.97,18912,1.90
ITA,2024-12-05,0,0.40,0,0,0.87,234,10.02,12.39,11120,0.21
ISH,2024-12-05,0,0,2000,0.08,0.94,1657,15.50,14.92,12717,2.02
ITD,2024-12-05,300,1.07,0,0,0.95,-2109,-6.09,12.61,14279,0.90
ITC,2024-12-05,0,0.31,0,0,1.44,817,12.85,14.46,24242,0.43
JOS,2024-12-05,0,0.27,0,0,-0.56,-2963,-0.27,0,-20021,-0.04
IVS,2024-12-05,1500,80.06,0,0,1.44,261,34.45,18.52,11114,0.81
ITS,2024-12-05,0,0,100,0.03,0.43,189,19.59,9.79,10741,0.34
ITQ,2024-12-05,0,0,0,0,0.42,42,69.86,18.47,10435,0.28
JVC,2024-12-05,0,1.42,0,0,0.99,394,8.04,11.50,4651,0.68
KBC,2024-12-05,197800,18.86,0,0,1.76,550,50.89,5.37,26860,1.04
KCE,2024-12-05,0,0.01,1000,0.10,0.55,1939,5.26,7.65,15257,0.67
KAC,2024-12-05,0,0.03,0,0,0,110,190.11,50.40,13244,1.59
KCB,2024-12-05,0,2.56,500,0.06,0.13,2019,3.86,11.56,10875,0.72
KDH,2024-12-05,681600,36.54,0,0,0.93,582,56.40,37.82,20764,1.58
KDM,2024-12-05,0,0,0,0,0.45,318,50.36,27.95,10063,1.59
KGM,2024-12-05,0,0.02,375,0.05,0.80,509,14.68,15.84,10630,0.70
KHL,2024-12-05,0,0.59,0,0,0,-82,-8.51,16.80,3778,0.19
KHD,2024-12-05,0,0,0,0,0.71,-608,-16.29,12.92,13963,0.71
KHG,2024-12-05,618700,1.68,0,0,1.28,114,49.27,9.83,11590,0.48
KDC,2024-12-05,700,19.13,1600,0.03,0.22,-1948,-25.87,18.26,24936,2.02
KHP,2024-12-05,0,1.24,600,0.05,-0.11,3384,3.86,20.17,12831,1.02
KIP,2024-12-05,0,0,800,0.07,-0.01,1948,5.65,6.53,22740,0.48
KHW,2024-12-05,0,0,1238,0.04,0.72,2619,13.13,15.91,13110,2.62
KHS,2024-12-05,0,0,0,0,-0.31,2125,6.12,8.72,18168,0.72
KKC,2024-12-05,0,0.53,0,0,0.37,655,9.15,39,7844,0.76
KLB,2024-12-05,0,0.55,0,0,0.59,1854,6.39,5.41,17518,0.68
KLF,2024-12-05,0,0.53,0,0,0,-724,-1.11,13.78,9686,0.08
KMR,2024-12-05,0,62.36,0,0,0.46,86,37.41,16.70,11315,0.29
KSB,2024-12-05,188500,3.06,0,0,1.61,368,47.17,15.32,23026,0.75
KMT,2024-12-05,0,0,600,0.06,-0.03,1297,7.48,7.96,13920,0.70
KPF,2024-12-05,200,0.14,0,0,1.22,-5087,-0.31,82.73,8365,0.19
KOS,2024-12-05,5000,0.18,0,0,0.09,134,290.04,77.67,10767,3.60
KSD,2024-12-05,0,25.29,0,0,-0.42,2,2923.98,30,9993,0.50
KSF,2024-12-05,0,0,0,0,0.15,2108,19.22,47.65,26617,1.52
KSH,2024-12-05,0,0.22,0,0,0,-2,-216.22,7.67,8336,0.05
KSV,2024-12-05,0,0,500,0.01,-0.76,4239,12.08,34.13,17815,2.87
KST,2024-12-05,0,0.38,600,0.05,0.13,1269,9.06,8.61,12463,0.92
KSQ,2024-12-05,0,0.57,0,0,1.45,382,7.85,562.85,8965,0.33
KTL,2024-12-05,0,0.10,1100,0.05,1.02,2344,8.62,5.97,20972,0.96
KTC,2024-12-05,0,0,300,0.03,1.48,847,12.04,23.21,11575,0.88
KTT,2024-12-05,0,0,0,0,-0.15,-7007,-0.33,0.85,1882,1.22
KTS,2024-12-05,0,0.06,0,0,0.84,6891,6.02,7.97,45620,0.91
KTW,2024-12-05,0,0,1086,0.11,0,0,0,9.08,0,0
L10,2024-12-05,0,0.95,1000,0.05,0.03,3310,5.77,9.94,27990,0.68
L12,2024-12-05,0,0.06,0,0,0.68,430,10,7.50,18045,0.24
L14,2024-12-05,2200,0.18,500,0.02,2.22,799,36.42,35.92,13766,2.11
L18,2024-12-05,0,0,1000,0.03,1.57,3611,10.55,15.68,18083,2.11
KVC,2024-12-05,0,1.41,0,0,1.66,-405,-3.34,16.77,9064,0.15
L40,2024-12-05,0,0.11,0,0,1.25,1260,30.25,28.58,19373,1.97
L35,2024-12-05,0,0.01,0,0,0.62,-3116,-1.99,-19.56,4692,1.32
L44,2024-12-05,0,1.08,0,0,-0.45,-2347,-0.26,4.80,-22523,-0.03
L43,2024-12-05,0,1.06,0,0,0.59,-1487,-2.16,46.18,3791,0.85
L61,2024-12-05,0,0,0,0,1.10,-7010,-0.19,-0.17,-2555,-0.51
L45,2024-12-05,0,0.13,0,0,-0.23,17,191.53,136.77,10942,0.30
L62,2024-12-05,0,0,0,0,0.83,-14199,-0.25,149.38,-5466,-0.66
LAI,2024-12-05,0,0,0,0,1.58,-44,-769.81,2.58,10851,3.10
LAF,2024-12-05,2000,2.58,1500,0.08,0.31,2844,6.22,6.74,15163,1.17
LAS,2024-12-05,48700,0.13,1000,0.05,2.26,1832,11.46,17.43,12808,1.64
L63,2024-12-05,0,0,0,0,-0.41,0,0,21.19,0,0
LAW,2024-12-05,0,0,0,0,0.15,1075,26.05,18.46,16224,1.73
LCC,2024-12-05,0,0,0,0,-0.08,0,0,-148.62,0,0
LCG,2024-12-05,27400,2.04,500,0.05,1.24,839,11.98,14.97,13290,0.76
LCD,2024-12-05,0,0,0,0,0,990,21.91,59.18,20387,1.06
LBM,2024-12-05,0,15.67,3500,0.13,0.96,3330,8.26,12.22,15818,1.74
LBE,2024-12-05,0,0,0,0,0.30,667,30.13,40.20,12426,1.62
LCM,2024-12-05,0,4.50,0,0,-0.07,139,7.18,12.32,5019,0.20
LCS,2024-12-05,0,0.21,0,0,0.14,-63,-12.70,12.16,9536,0.08
LDG,2024-12-05,33700,0.93,0,0,1.56,-2101,-0.88,189.11,8757,0.21
LDP,2024-12-05,0,0,0,0,0.53,-478,-20.91,42.34,7569,1.32
LDW,2024-12-05,0,0,510,0.03,0,1157,13.40,15.20,11968,1.30
LG9,2024-12-05,0,0,0,0,1.81,0,0,14.88,0,0
LEC,2024-12-05,0,0.01,0,0,-0.16,-754,-7.66,18.81,12345,0.47
LGC,2024-12-05,0,44.98,2500,0.04,-0.10,4805,12.90,12.83,29014,2.14
LGM,2024-12-05,0,0,0,0,0.19,0,0,15.36,0,0
LGL,2024-12-05,0,2.10,0,0,0.81,-1040,-2.36,21.12,12357,0.20
LHC,2024-12-05,0,0.56,2500,0.04,0.59,3731,19.14,9.93,49565,1.44
LHG,2024-12-05,15900,18.02,1900,0.05,1.34,4059,8.88,13.72,32283,1.12
LIC,2024-12-05,0,0,0,0,1.52,113,322.63,62.20,4635,7.88
LIG,2024-12-05,0,0,0,0,0.82,2,1387.56,4.69,12108,0.24
LM3,2024-12-05,0,0,0,0,0.12,-6150,-0.57,29.65,-62383,-0.06
LKW,2024-12-05,0,3.82,2000,0.07,0,0,0,5.83,11318,2.70
LIX,2024-12-05,12000,3.94,3000,0.09,0.61,4581,6.90,8.53,14003,2.26
LLM,2024-12-05,0,0.02,450,0.03,-0.11,1308,11.16,19.40,12554,1.16
LM7,2024-12-05,0,0.34,0,0,0.65,-4751,-0.53,41.67,-1390,-1.80
