stock_code,date,foreign_buy,percent_foreign_ownership,cash_dividend,dividend_yield,beta,eps,pe,forward_pe,bvps,pb
CSV,2024-05-11,48400.0,2.3,2500.0,0.07,1.98,3950.0,9.08,15.16,13752.0,2.61
CT3,2024-05-11,,,,,,,,10.71,,
CT6,2024-05-11,,0.03,,,-0.41,1506.0,5.51,12.67,10362.0,0.8
CTA,2024-05-11,,0.26,,,,-843.0,-1.66,4.51,4690.0,0.3
CTB,2024-05-11,,0.46,2000.0,0.1,0.06,2119.0,9.25,5.96,21659.0,0.9
CTC,2024-05-11,,0.48,,,,-118.0,-11.02,12.84,6632.0,0.2
CTD,2024-05-11,2700.0,49.0,,,1.38,3259.0,20.43,16.05,83762.0,0.8
CTF,2024-05-11,,3.37,,,0.14,212.0,140.38,33.24,12085.0,2.46
CTG,2024-05-11,38900.0,26.57,,,1.04,4128.0,8.65,9.92,26254.0,1.36
CTI,2024-05-11,500.0,0.53,,,1.38,1966.0,8.01,9.02,27447.0,0.57
CTN,2024-05-11,,1.53,,,,-532.0,-0.94,1.39,-3545.0,-0.14
CTP,2024-05-11,3800.0,0.74,,,1.61,28.0,1278.11,27.07,12261.0,2.92
CTR,2024-05-11,100.0,9.56,4639.0,0.04,1.76,4639.0,26.73,26.68,14780.0,8.39
CTS,2024-05-11,,0.6,,,1.89,1382.0,27.2,19.96,14879.0,2.53
CTT,2024-05-11,,0.45,1000.0,0.06,0.05,2972.0,5.55,5.17,14107.0,1.17
CTW,2024-05-11,,,660.0,0.02,-1.36,3150.0,9.37,13.8,19821.0,1.49
CTX,2024-05-11,,0.01,,,,130.0,58.56,9.99,12900.0,0.59
CVN,2024-05-11,,,,,-0.33,27.0,70.14,0.94,13600.0,0.14
CVT,2024-05-11,,0.46,,,0.37,1418.0,18.08,18.45,26528.0,0.97
CX8,2024-05-11,,,,,0.68,66.0,105.28,25.85,10507.0,0.67
CYC,2024-05-11,,10.69,,,,-14134.0,-0.21,13.12,5942.0,0.49
D11,2024-05-11,,,,,0.09,487.0,21.17,19.68,25644.0,0.4
D17,2024-05-11,,,2000.0,0.05,0.09,1405.0,30.25,11.64,21967.0,1.93
D2D,2024-05-11,,0.59,8700.0,0.28,0.55,678.0,46.58,21.52,30863.0,1.02
DAC,2024-05-11,,6.46,,,0.3,-4503.0,-1.0,-0.53,1997.0,2.25
DAD,2024-05-11,,,2000.0,0.1,-0.11,2494.0,8.3,6.9,20936.0,0.99
DAE,2024-05-11,,,1200.0,0.08,0.28,1665.0,9.31,7.65,21893.0,0.71
DAG,2024-05-11,,0.86,,,0.57,-889.0,-1.57,8.89,452.0,3.1
DAH,2024-05-11,,,,,0.78,20.0,156.31,25.85,10955.0,0.28
DAN,2024-05-11,,0.17,700.0,0.02,-0.35,3012.0,9.76,7.99,36128.0,0.81
DAS,2024-05-11,,,1000.0,0.16,0.26,,,5.25,,
DAT,2024-05-11,,0.01,,,0.27,938.0,7.9,5.13,12654.0,0.59
DBC,2024-05-11,,9.51,,,1.56,2151.0,12.78,12.61,19503.0,1.41
DBD,2024-05-11,52000.0,14.78,,,0.42,3427.0,14.23,14.26,17448.0,2.79
DBM,2024-05-11,,1.07,1700.0,0.07,0.34,2895.0,8.05,7.54,24723.0,0.94
DBT,2024-05-11,,1.28,,,0.37,987.0,12.16,5.02,14070.0,0.85
DC1,2024-05-11,,0.74,,,-0.66,,,15.13,,
DC2,2024-05-11,,2.4,,,0.38,529.0,14.74,11.03,11047.0,0.71
DC4,2024-05-11,5200.0,0.45,,,1.07,3744.0,3.22,6.33,13559.0,0.89
DCF,2024-05-11,,,,,0.5,1742.0,29.73,33.78,15784.0,3.28
DCG,2024-05-11,,5.25,1500.0,0.13,-0.17,659.0,18.22,4.55,13442.0,0.89
DCH,2024-05-11,,,100.0,0.01,0.08,,,55.8,,
DCL,2024-05-11,,1.12,,,0.57,869.0,30.6,15.21,20316.0,1.31
