ID,CatID,Exchange,IndustryName,Code,Name,TotalShares,URL,Row,TotalRecord
2460,5,UPCoM,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HDP,CTCP Dược Hà Tĩnh,9934418,https://finance.vietstock.vn/HDP-ctcp-duoc-ha-tinh.htm,548,3275
4181,5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",HDS,CTCP Giống cây trồng Hải Dương,5162924,https://finance.vietstock.vn/HDS-ctcp-giong-cay-trong-hai-duong.htm,549,3275
4236,5,UPCoM,Dịch vụ tiện ích,HDW,CTCP Kinh doanh Nước sạch Hải Dương,31882470,https://finance.vietstock.vn/HDW-ctcp-kinh-doanh-nuoc-sach-hai-duong.htm,550,3275
2754,5,UPCoM,Tư liệu sản xuất,HEC,CTCP Tư vấn Xây dựng Thủy Lợi II,6000000,https://finance.vietstock.vn/HEC-ctcp-tu-van-xay-dung-thuy-loi-ii.htm,551,3275
4523,5,UPCoM,Dịch vụ chuyên biệt và thương mại,HEJ,Tổng Công ty Tư vấn Xây dựng Thủy lợi Việt Nam - CTCP,4400000,https://finance.vietstock.vn/HEJ-tong-cong-ty-tu-van-xay-dung-thuy-loi-viet-nam-ctcp.htm,552,3275
4615,5,UPCoM,Dịch vụ tiện ích,HEP,CTCP Môi trường và Công trình Đô thị Huế,6000000,https://finance.vietstock.vn/HEP-ctcp-moi-truong-va-cong-trinh-do-thi-hue.htm,553,3275
1666,5,UPCoM,Dịch vụ tiêu dùng,HES,CTCP Dịch vụ Giải trí Hà Nội,9297450,https://finance.vietstock.vn/HES-ctcp-dich-vu-giai-tri-ha-noi.htm,554,3275
1042,2,HNX,Truyền thông và giải trí,HEV,CTCP Sách Đại học - Dạy nghề,1000000,https://finance.vietstock.vn/HEV-ctcp-sach-dai-hoc-day-nghe.htm,555,3275
4237,5,UPCoM,Tư liệu sản xuất,HFB,CTCP Công trình Cầu phà Thành phố Hồ Chí Minh,9100000,https://finance.vietstock.vn/HFB-ctcp-cong-trinh-cau-pha-thanh-pho-ho-chi-minh.htm,556,3275
2022,5,UPCoM,Phân phối và bán lẻ hàng lâu bền,HFC,CTCP Xăng dầu HFC,10198105,https://finance.vietstock.vn/HFC-ctcp-xang-dau-hfc.htm,557,3275
2663,5,UPCoM,Phân phối và bán lẻ hàng lâu bền,HFX,CTCP Sản xuất - Xuất nhập khẩu Thanh Hà,1270000,https://finance.vietstock.vn/HFX-ctcp-san-xuat-xuat-nhap-khau-thanh-ha.htm,558,3275
1861,2,HNX,Nguyên vật liệu,HGM,CTCP Cơ khí và Khoáng sản Hà Giang,12600000,https://finance.vietstock.vn/HGM-ctcp-co-khi-va-khoang-san-ha-giang.htm,559,3275
2852,5,UPCoM,Dịch vụ tiêu dùng,HGT,CTCP Du lịch Hương Giang,20000000,https://finance.vietstock.vn/HGT-ctcp-du-lich-huong-giang.htm,560,3275
1056,2,HNX,"Thực phẩm, đồ uống và thuốc lá",HHC,CTCP Bánh kẹo Hải Hà ,16425000,https://finance.vietstock.vn/HHC-ctcp-banh-keo-hai-ha.htm,561,3275
2640,5,UPCoM,Vận tải,HHG,CTCP Hoàng Hà,34896354,https://finance.vietstock.vn/HHG-ctcp-hoang-ha.htm,562,3275
4414,5,UPCoM,Vận tải,HHN,CTCP Vận tải và Dịch vụ Hàng hóa Hà Nội,1440000,https://finance.vietstock.vn/HHN-ctcp-van-tai-va-dich-vu-hang-hoa-ha-noi.htm,563,3275
4686,1,HOSE,Nguyên vật liệu,HHP,CTCP HHP Global,86554343,https://finance.vietstock.vn/HHP-ctcp-hhp-global.htm,564,3275
